"id";"name";"image1";"description";"image2";"main_description";"how_to";"how_not_to";"info";"exercise_type"
28;"Latziehen zur Brust";"";"Es handelt sich um eine hervorragende Ubung, die sowohl Fortgeschrittene als auch Anfänger ausführen können. Letzteren
kann sie als Vorbereitung auf die späteren Klimmzüge dienen (siehe Übung t ), die Beteiligung der Muskeln ist
mit jener Übung beinahe identisch. Die stärkste Beanspruchung des Rückens findet im äußeren und oberen Bereich
statt, was sehr geeignet ist, um ein paar Millimeter an Breite zu gewinnen (auch wenn dies stark vom Körperbau abhängt).
Es muss sich so anfühlen, als würden die Ellbogen ,,an die Seite herangeführt"" und als würden die Hände
nur als Haken dienen. Fortgeschrittene müssen aufpassen, dass sie nicht zu viel Gewicht verwenden, um den Trizeps
und andere Muskeln nicht zu schädigen. Häufig wird lieber der ,,falsche Griff"" venrvendet, das heißt, der Daumen liegt
ebenfalls oberhalb der Stange, doch dies ist nur zulässig, wenn dabei ein fester Halt möglich ist.";"";"";"Wir setzen uns an das Latzug-Gerät, mit den Beinen unter den Stützrollen.
Der Rücken ist gerade. Wir fassen die Stange mehr als schulterbreit im
0bergriff (mit den Knöcheln nach hinten), Die Stange wird in Richtung des
oberen Brustmuskelbereichs gezogen, während der Rücken leicht gebeugt
wird. Dabei weitet sich die Brust und der Körper wird leicht nach hinten geneigt.
Die Ellbogen bewegen sich senkrecht zu den Seiten nach unten, Beim
Anheben der Arme einatmen, nach ihrem Absenken nahe dem Oberkörper
ausatmen, ohne die gesamte Luft herauszulassen; bei leichten Lasten kann
die Atmung umgekehrt erfolgen,";"Herabziehen der Stange bis zum Bauch (zu wenig Gewicht), Beugen
des Oberkörpers, um die Brust- und Bauchmuskeln zu Hilfe zu nehmen, unvollständige
Ausführung der Bewegungsstrecke, Strecken des Oberkörpers, um den Lendenmuskel zu
Hilfe zu nehmen und asymmetrischer Griff oder zu großer Abstand der Hände an der Stange.";"Bodybuilder der alten Schule hielten von ,,Klimmzügen"" stets mehr als vom ,,Latziehen"" für den Rückenmuskel;vor allem, wenn eine Übung
mit freien Gewichten mit einer Übung am Gerät verglichen wurde. Was die eingesetzten Muskeln und die lntensität für die Muskeln angeht,
sind beide Übungen jedoch nahezu identisch. Anfänger werden es bei den ersten Versuchen kaum nach oben schaffen (zumindest nicht
mit einer guten Technik), und Fortgeschrittene tragen in der Regel einen kiloschweren ,,Zusatzgewicht"" an Muskel- und Knochenmasse mit
sich, wodurch sie keine hohe Zahl an Wiederholungen bewältigen können; nur sehr wenige Menschen sind in der Lage, gute Klimmzüge in
ausreichender Zahl auszuführen.
Deswegen kann das Latziehen eine gute Alternative sein, die eine Variation des Gewichts vom leichten Aufwärmtraining bis zur größtmöglichen
lntensität erlaubt.";"gerät"
29;"Rudern am Seilzug";"";"Es handelt sich um eine hervorragende Ubung für den breiten Rückenmuskel, die Vince Gironda bekannt gemacht,
wenn auch nicht erfunden hat (dieses Gerät gehört in derTat zu den ältesten, die in Fitnessstudios anzutreffen sind).
Sie ermöglicht das Bewegen hoher Lasten, wobei immer auf den Lendenbereich zu achten ist. Mit dieser Übung lässt
sich eine gute Ausbildung des Rückenmuskels erreichen, besonders seiner Dicke, und gleichzeitig beansprucht sie
den gesamten Rücken. Menschen mit Problemen im Lendenbereich sollten die Variante am Gerät wählen (siehe
Übung t 1 ), bei der Brustkorb und Bauchmuskeln unterstützend wirken.
Es sollte sich so anfühlen, als würde man ,,an den Ellbogen ziehen"", um sie an die Seiten des Körpers anzunähern,
und nicht, als würde man die Hände dem Bauch nähern. Die Beteiligung des Bizeps würde den Rücken im Gegenteil
eher entlasten. Dieser Fehler passiert Anfängern häufig, die außerdem wenig Gewicht verwenden.";"";"";"Wir sitzen mit dem Gesicht zum Seilzug, die Beine sind halb gebeugt und fest
vor uns abgestützt. Der Griff wird in neutraler Handstellung und mit fast
ganz gestreckten Armen gefasst. Wir ziehen ihn in Richtung des Bauchs
und weiten gleichzeitig die Brust, um eine starke Kontraktion des Rückenmuskels
zu erzielen, Die Bewegung des Oberkörpers im Lendenbereich
muss kurz sein (leichte Begleitbewegung). Beim Absenken des Gewichts
einatmen und beim Anheben ausatmen; bei leichten Lasten kann die Atmung
auch umgekehrt erfolgen.";"Strecken des Oberkörpers, um den Lendenmuskel und die paravertebralen
Muskeln zu Hilfe zu nehmen, Bewegung der Hände zur Brust und großer
Abstand der Ellbogen zum Körper, um den Bizeps verstärkt zu nutzen, unvollständige
Ausführung der Bewegungsstrecke und Ausführung mit zu gerrngem Gewicht.";"";"gerät"
30;"Rudern am Gerät";"";"Diese Übung ähnelt dem Rudern am tiefen Seilzug (siehe Übung 10) und dem Langhantelrudern (siehe Übung 2),
was den großen Vorteil hat, dass eine Überlastung des Lendenbereichs und der paravertebralen Muskeln verhindert
wird, da der Oberkörper angelehnt wird. Ungünstig ist dagegen, dass das Zusammendrücken des Bauchs und der
Brust die Atmung erschweren kann. Bei manchen besser konstruierten Geräten können die Füße vorne unter die
Stützrollen gestellt werden, und indem auf sie Druck ausgeübt wird, wird dem Brustkorb Druck abgenommen. ln diesem
Fall ist die Übung eine gute Alternative zu den freien Gewichten.";"";"";"Setzen Sie slch und lehnen Sie die Brust und den Bauch gegen das Stützpolster
(ohne sie zu lösen). Fassen Sie den Griffvorne mit neutraler Handstellung
und ziehen sie ihn in Richtung des Bauchs, Gleichzeitig weiten Sie
die Brust, um eine starke Kontraktion des Rückenmuskels zu erzielen. Theoretisch
soll beim Anheben des Gewichts eingeatmet werden und beim Absenken
ausgeatmet, ohne die gesamte Luft herauszulassen. Doch die
Atmung ist unnatürlich, denn wenn Bauch und/oder Brust gegen das Polster
gelehnt sind, erschwert dies die normale Atmung. Außerdem muss während
eines Teils der Bewegungsstrecke die Luft angehalten werden und
darJ nie ganz ausgeatmet werden,";"Strecken des Oberkörpers, um den Lendenmuskel und die paravertebralen
Vluskeln zu Hilfe zu nehmen, unvollständige Ausführung der Bewegungsstrecke
und falsche Einstellung (oder falsche Konstruktion) des Geräts,";"";"gerät"
31;"Rudern im Stehen am tiefen Seilzug";"";"Diese Ubung ähnelt dem ,,Rudern mit der T-Stange"" (siehe Ubung 3), jedoch unter Veruendung des Seilzugs. Die Vorteile
gegenüber der genannten Ubung liegen, eine einwandfreie Technik vorausgesetzt, in einer sanfteren Bewegung
bei konstanter Anspannung. Der größte Nachteil besteht in der Regel in dem geringeren Gewicht, da der Körper bei
großer Last nach vorne kippt (denn die Zugrichtung ist diagonal). Die größte Schwierigkeit liegt daher auch genau
in der Haltung des Rückens und des übrigen Körpers, weswegen die Übung nicht sehr verbreitet ist.";"";"";"lm Stehen, mit um ca. 45' nach vorne geneigtem Oberkörper und leicht gebeugten
Knien, mit festem und geradem Rücken fassen wir die Stange im
Obergriff (mit den Handflächen nach unten), Die Stange ist am tiefen Seilzug
befestigt, und während wir sie bis zum oberen Bereich des Bauchs ziehen,
weiten wir die Brust. Kurz vor dem Absenken des Gewichts durch den
Mund tief einatmen, die Luft während der Bewegung anhalten und am Ende
der Aufwärtsbewegung (schnell) ausstoßen, Es ist darauf zu achten, dass
die durch das Zurückhalten von etwas Luft erzielte Anspannung nicht nachlässt,
denn sie hilft, den Oberkörper zu stützen.";"Strecken des Oberkörpers, um den Lendenmuskel und die paravertebralen
Muskeln zu Hilfe zu nehmen, unvollständige Ausführung der Bewegungsstrecke
und gebeugte Haltung des Rückens.";"";"gerät"
32;"Überzüge am hohen Seilzug";"";"Dies ist eine gute Ubung für den Rückenmuskel. Sie darf nicht mit viel Gewicht ausgeführt werden, da uns das Seil
ansonsten nach oben ziehen würde. Dennoch beteiligt sie diesen Muskel aus anderen Winkeln als die gängigsten Übungen.
Außerdem ist die Beteiligung des Bizeps, im Gegensatz zu anderen Übungen für den Rückenmuskel, zu vernachlässigen;
stärker beteiligt ist der Trizeps, sowohl bei der isometrischen Stabilisierung des Ellbogengelenks als auch
aktiv in seinem langen Kopf, Die Muskelbeteiligung ähnelt bestimmten Schwimmstilen. Anfänger werden Schwierigkeiten
haben, die Übung in einwandfreier Technik auszuführen. Daher ist sie eher für geübte Sportler geeignet.";"";"";"Sie stehen mit dem Gesicht zum Seilzug. Der Oberkörper ist durch die
isometrische Anspannung der Bauchmuskeln leicht nach vorne geneigt,
/ Die Stange wird in etwa schulterbreitem Abstand im Obergriff gefasst
,t (mit den Handflächen in Richtung Boden). Die Ellbogen bleiben beii
nahe gestreckt, doch das Gelenk ist fixiert. Wir ziehen die Stange mit
' d.r Rückenmuskel nach unten, bis auf die Höhe der Hüfte oder der
Schenkel, wobei die Ellbogen gestreckt bleiben. Am Ende weiten wir
die Brust, um eine stärkere Kontraktion zu erzielen. Gleichzeitig wird
der Rücken leicht gebeugt. Bei der Aufwärtsbewegung der Arme einatmen
und nach dem Absenken ausatmen. Bei geringem Gewicht kann
die Atmung umgekehrt erfolgen.";"Schwingen mit dem Körper, Neigung des 0berkörpers nach
vorne, um den Bauchmuskel zu Hilfe zu nehmen und Ausführung eines Latzugs
oder einer Ruderbewegung durch Beugen der Ellbogen.";"lst der Überzug in Richtung der Hüfte oder in Richtung der Schenkel auszuführen?
Dazwischen besteht im Grunde kaum ein Unterschied: Die Armbewegung ist beinahe die gleiche und die stärkere Streckung bzw. Beugung
der Ellbogengelenke und der Hüfte lässt uns die Hände weiter nach oben bzw. nach unten führen. Da der Rückenmuskel am 0berarmknochen
ansetzt und dessen Bewegung in beiden Fällen gleich ist, besteht kein Unterschied in der Belastung.
Zu vermuten ist nur, dass die Bewegungstrecke bei einer stärkeren Beugung der Hüfte und der Knie und bei einer Bewegung in Richtung
der Oberschenkel etwas kürzer ist.";"gerät"
33;"Klimmzüge am Gerät mit Unterstützung";"";"Dies ist eine hervorragende Übung für den Rückenmuskel, die sowohl Anfänger als auch Fortgeschrittene ausführen
können. Für Erstere dient sie der Gewöhnung an Klimmzüge (siehe Übung I ), Letztere können durch sie die Anzahl
der Wiederholungen steigern, die sie mit freien Gewichten erzielen, und ihre Technik verfeinern. Auch hier werden der
äußere und der obere Bereich am stärksten beansprucht, weswegen sich die Übung sehr gut für eine Verbreiterung
des Rückenmuskels eignet. Durch die Unterstützung sollte sich niemand täuschen lassen, denn die Übung kann sehr
anspruchsvoll sein, wenn man will (wenn man beispielsweise wenig Hilfsgewicht wählt) und wenn man das Schaukeln
und sonstiges Abfälschen vermeidet,";"";"";"Die Knie oder Füße stehen auf der Unterstützung (je nach Konstruktion),
der übrige Körper nimmt die,gleiche Stellung ein wie bei den Klimmzügen
mit freien Gewichten (siehe Ubung 1), das heißt, der Rücken ist gerade,
die Hände sind etwas mehr als schulterbreit auseinander und fassen die
Griffe im Obergriff (die Knöchel zeigen zum Kopf). Der Körper wird nach
oben gezogen, gleichzeitig wird der Rücken leicht gebeugt, Die Brust wird
herausgestreckt und der Körper leicht nach hinten geneigt. Die Ellbogen bewegen
sich senkrecht nach unten zu den Seiten, An diesem Gerät kann die
Aufwärtsbewegung beinahe immer ganz senkrecht erfolgen, so dass der
Kopf durch den Abstand zwischen den Griffen hindurchgeführt wird. Während
der ersten Hälfte der Abwärtsbewegung einatmen, am Ende der Aufwärtsbewegung
ausatmen. Je nach Technik kann die Atmung auch
umgekehrt erfolgen.";"Beugen des Oberkörpers, um die Brust- und Bauchmuskeln zu
Hilfe zu nehmen, unvollständige Ausführung der Bewegungsstrecke, gezwungene
Haltung bei der Aufwärtsbewegung und ruckartiges (nicht gleichmäßiges) Abstoßen
von der Unterstützung.";"lm Hinblick auf Knochen und Muskeln ist Krafttraining der umfassendste Sport, noch vor Schwimmen, Leichtathletik, Kampfsport oder sonstigen
Sportarten. Doch damit es darüber hinaus auch der gesündeste Sport ist, ist als Ergänzung Ausdauersport notwendig.";"gerät"
34;"Latziehen mit einer Hand";"";"Zwar kann diese Übung als eine Variante des Latziehens zur Brust (siehe Übung 9) betrachtet werden, doch die Ausführung
mit nur einer Hand und die Art der Annäherung an den Oberkörper verleiht ihr eine ganz eigene Kontraktion,
weswegen sie gesondert aufgeführt werden muss. Besonders geeignet ist sie für das spezifische Training für
bestimmte Sportarten, bei denen an Seilen, Stufen oder einer anderen Art von Griffen geklettert wird.
Die Variante, bei der zusätzlich der Ellbogen am unteren Punkt der Bewegung gestreckt wird, um die Last ein paar
Zentimeter weiter zu bewegen, bringt für die Beanspruchung des Rückenmuskels keinerlei Vorteil (sie führt nur zu
einer unnötig stärkeren Beteiligung des Trizeps).";"";"";"Sie sitzen am Latzug, halten den Griff in einer Hand und ziehen daran,
indem Sie den Ellbogen an die Seite des Körpers führen. Die andere Hand
bleibt in der Taille oder begleitet die Bewegung, als würde man an einer
@' S.f'nrt nach oben klettern (die Hand, mit deigezogen wird, geht nach unten, während die andere nach oben geführt wird und das Kabel berührt),
Vor der Aufwärtsbewegung einatmen, während der gesamten Bewegungsstrecke
die Luft anhalten und im letzten DrittelderAbwärtsbewegung ausatmen;
die Atmung kann auch umgekehrt erfolgen (je nach verwendetem
Gewicht, Technik usw. ).";"Beugen des Oberkörpers, um die Bauchmuskeln zu Hilfe zu nehmen,
unvollständige Ausführung der Bewegungsstrecke und zu starke Drehung des
Körpers bei der Abwärtsbewegung.";"Da die Rückenmuskeln als ,,Haltungsmuskeln"" gelten, muss bei jeder haltungsbedingten Verkrümmung der
Wirbelsäule ein Teil der Behandlung auf Muskeltraining beruhen. Eine sehr häufige Erscheinung, dem Rundrücken,
geht in der Regel auf mangelnde Dehnbarkeit oder zu hohem Tonus der Brust- und Bauchmuskeln
zurück, in Kombination mit einer Muskelschlaffheit oder erhöhten Muskelspannung der Rückenmuskeln.";"gerät"
35;"Kabelzüge über Kreuz mit dem Rücken";"";"Diese Ubung ist wenig verbreitet und wird mit wenig Gewicht ausgeführt, doch sie kann als Abwechslung beim
Rückentraining dienen. Sie erJordert eine gute Körperbeherrschung und ein gutes Gespür für die beanspruchten Muskeln.
Daher ist sie für Anfänger weniger geeignet.
Man darf nicht vergessen, dass eine der Grundfunktionen des breiten Rückenmuskels in der senkrechten Adduktion
der Arme besteht. Dies erfolgt bei dieser Übung sehr gezielt,";"";"";"Wir stellen uns zwischen die beiden Seilzüge, Die Beine sind leicht gebeugt oder ein Bein ist nach vorne gestellt,
Der Oberkörper ist leicht gebeugt und die Bauch- und Lendenmuskeln sind angespannt. ln der Ausgangsposition
sind die Arme über Kreuz, mit halb gebeugten Ellbogen, und werden hinter dem Rücken unten
zusammengeführt (,,senkrechte Adduktion""), Die Beugung der Ellbogen bleibt die gesamte Bewegungsstrecke
über unverändert, Kurz gesagt entspricht die Ausführung den ,,Kabelzügen über Kteuz"" für den Brustmuskel
(siehe Übung 16), erfolgt aber hinter dem Körper. Beim Öffnen der Arme einatmen, am Ende des Zusammenführens
ausatmen,";"falsche Technik und Beugen des Oberkörpers,";"";"gerät"
36;"Adduktion der Oberarme am Gerät";"";"Dieses nicht sehr weit verbreitete Gerät ist eine Abwandlung des ,,Latzug-Gerätes"" (siehe Übung 9), doch ohne Einbeziehung
derArme (hier ist der Bizeps nicht beteiligt), Beieinem richtig konstruierten Gerätwird der Rückenmuskel
hier sehr gut beansprucht. Die geringe Verbreitung geht hauptsächlich auf wirtschaftliche Gründe zurück, da es
sich um ein nicht sehr vielfältiges (aber sehr nützliches) Gerät handelt, das häufig durch die genannten ,,Latzug""-Geräte
ersetzt wird. ln einem guten Kraftraum sollte es dennoch vorhanden sein, insbesondere für Menschen, die an
anderen Geräten Schwierigkeiten haben, mit den Händen zu greifen, oder die dies gar nicht können.";"";"";"Wir sitzen am Gerät, die Arme auf den Polstern und führen die Arme an die Seiten des Körpers heran, Beim
Öffnen der Arme einatmen, während des Zusammenführens ausatmen,";"schlechte Haltung auf der Bank, unangemessenes Gewicht und
Bewegen der Ellbogen nach v0rne, um den Brustmuskel noch stärker zu Hilfe zu
nehmen.";"";"gerät"
37;"Rudern an der Multipresse";"";"Es handelt sich um eine Grundübung, bei derjedoch alle Rückenmuskeln stark beansprucht werden, hauptsächlich
der breite Rückenmuskel. Sie eignet sich gut, um in diesem Bereich mehr Dicke (mittlere Fasern) zu erzielen und allgemein
die Kraft zu steigern, denn sie beansprucht auch den Oberkörper und die Beine isometrisch,
Anfänger sollten am Gerät beginnen (siehe Übung 1 1 ). Um Verletzungen zu vermeiden, insbesondere im unteren Rückenbereich,
erfordert diese Übung eine einwandfreie Technik, Um die korrekte Haltung zu bewahren, kann man zur
Orientierung die Stirn an eine Stütze lehnen, ohne sie jedoch abstützen. Die Multipresse könnte beidieser Übung unbequemer
sein als andere Varianten,";"";"";"Die Ausführung erfolgt wie bei der Variante mit freien Gewichten (siehe Ubung 2), Wir stehen, der Oberkörper
ist gerade, Die Hüfte ist um ca, 45"" gebeugt, die Knie sind halb gebeugt, aber fixiert. Die Stange wird im Obergriff
(mit den Handflächen in Richtung des Körpers) gehalten, der Abstand der Hände ist etwas mehr als schulterbreit,
Wir ziehen die Stange mit den Armen bis zur Bauchgegend nach oben, wobei die Ellbogen durchgehend
geöffnet sind. Kurz vor dem Absenken des Gewichts tief durch den Mund einatmen, die Luft während der Bewegung
anhalten und am Ende derAufwärtsbewegung (schnell) ausstoßen, Es ist daraufzu achten, dass die durch
das Zurückhalten von etwas Luft erzielte Anspannung nicht nachlässt, denn sie hilft den Oberkörper zu stützen.";"Schaukeln mit dem Körper und Strecken des Körpers, unvollständiges
Ausführen der Sätze oder der Bewegungsstrecke, Beugen des Rückens oder
sonstige Haltungsfehler und Führen der Stange in Richtung Brust.";"";"gerät"
38;"Senkrecht Rudern am Gerät";"";"Die Ausführung gleicht der entsprechenden Übung ,,Langhantelrudern"" mit freien Gewichten (siehe Übung 2), doch
ist der Körper auf dieses nicht sehr verbreitete Gerät gestützt (ähnlich dem ,,Rudern mit der T-Stange am Gerät""),
Der Vorteil liegt darin, dass der Lendenbereich entlastet und geschützt wird. Der Nachteil ist der Druck, der beim
Atmen auf den Brustkorb ausgeübt wird, Ein Gerät, bei dem die Füße untergestellt werden können und bei dem so
der Druck auf den Brustkorb verringert wird, ermöglicht eine bessere Atmung, da sich das Gewicht auf die Beine und
die 0berkörperstütze verteilt.";"";"";"Die Brust wird an das Polster des Geräts gelehnt, der Oberkörper waagerecht gehalten. Die Arme befinden sich
an den Seiten. Wir ziehen die Ellbogen nach oben, sie sind vom Körper gelöst,
Während der ersten Hälfte der Aufwärtsbewegung einatmen, Beim Absenken ausatmen, ohne die gesamte Luft
herauszulassen.";"unvollständige Ausführung der Sätze oder der Bewegungsstrecke,
Ablegen des Gewichts bei gestreckten Armen mitten in einem Satz und gepresste
oder falsche Atmung.";"";"gerät"
39;"Frontdrücken";"";"Es ist darauf zu achten, dass sich die Anstrengung auf die Deltamuskeln, nicht auf den Trizeps konzentriert (obwohl
dieser unvermeidlich beteiligt ist, insbesondere sein lateraler und medialer Kopf). Es stimmt nicht, dass das,,Frontdrücken""
den vorderen Teil und die Variante ,,hinter dem Nacken"" den hinteren Teil der Schulter trainiert. Beide Varianten
beanspruchen den gesamten Deltamuskel, insbesondere jedoch den vorderen und den seitlichen Teil;dieser
lrrtum erklärt die muskuläre Unausgewogenheit, die bei denjenigen zu beobachten ist, die diese Übung seit Jahren
als Grundlage ihres Schultertrainings ausführen. Diese Übung kann zwar mit ziemlich viel Gewicht ausgeführt werden,
doch ist die recht große Verletzungsgefahr des Gelenks zwischen Schulterblatt und Oberarmknochen zu berücksichtigen.
Was die Beteiligung des Bizeps betrift (als Agonist bzw, Antagonist), sollte sich niemand täuschen lassen,
denn er ist sowohl beim Bankdrücken (Abduktion des Arms) als auch beim Latziehen für den Rückenmuskel (Beugung
des Unterarms) beteiligt, Die Variante im Stehen ist identisch, jedoch gefährdet sie den Rücken mehr,";"";"";"Sie sitzen auf einer leicht schräg gestellten Bank, die Stange wird im 0bergriff
(mit den Knöcheln nach hinten) gehalten. Dabei sind die Hände etwas
mehr als schulterbreit auseinander. Die Stange wird bis in die Nähe der
Brust (Schlüsselbeinbereich) abgesenkt und fast bis zur völligen Streckung
nach oben gehoben. Die Arme bewegen sich parallel zum Körper und nähern
sich bei der Abwärtsbewegung den Seiten des Oberkörpers, Während
der Abwärtsbewegung einatmen, nach dem Anheben ausatmen.";"Abheben des Gewichts aus der untersten
Position durch fehlerhafte Konstruktion der Bank, zu starkes
Beugen des Lendenbereichs und Durchstrecken der Ellbogen,";"Das Schultergelenk besitzt wenig knöcherne Führung und wird hauptsächlich von Muskel,
Sehnen und Bändern stabilisiert. Das erklärt, warum es relativ häufig zu Schulterverletzungen
kommt.";"free"
40;"Kruzhanteldrücken";"";"Dies ist eine einfache und wirkungsvolle Ubung für Anfänger und Fortgeschrittene. Zu den Ausführungen zum Military
Press mit Langhantel (siehe Übung t) ist hinzuzufügen, dass der Hauptvorteil in der Natürlichkeit der Bewegung
besteht. Der größte Nachteil besteht in der Positionierung des Gewichts zu Beginn und am Ende des Satzes. Beim
Training mit schweren Lasten kann die envähnte Natürlichkeit beeinträchtigt werden (es wird empfohlen, sich helfen
zu lassen), Sie ist potenziellwenigerverletzungsträchtig als das,,Langhanteldrücken hinter dem Nacken"". Erinnern
wir uns an die Reihenfolge der Muskelbeteiligung bei dieser und anderen Bewegungen desselben Satzes: vorderer
Teil des Deltamuskels, dicht gefolgt vom seitlichen und schließlich vom hinteren Teil.
Um die Kurzhanteln in dre Ausgangsstellung zu bringen, neben den Kopf, kann man mit dem Arm pendeln und sie
mit dem Schwung aus einer Ellbogenbeugung dorthin führen.";"";"";"Sie sitzen auf einer leicht schrägen oder geraden Bank. Die Kurzhanteln
werden seitlich vom Kopf im Obergriff (mit den Knöcheln nach hinten) gehalten,
Sie werden beinahe bis zur völligen Streckung nach oben gebracht
und leicht zusammengeführt, um das Gleichgewicht zu wahren, Kontrolliert
bis auf Höhe der 0hren absenken, Die Arme bewegen sich stets parallel
zum Körper und nähern sich bei der Abwärtsbewegung den Seiten. Während
der Abwärtsbewegung Luft holen, nach dem Anheben die Luft ausstoßen.";"zu starkes Beugen des Lendenbereichs, Erzwingen der
letzten Wiederholungen ohne die Hilfe eines Partners und Durchstrecken der
Ellbogen in der oberen Position, um auszuruhen.";"Der Kopf und die Nackenmuskulatur verfügen über zahlreiche kleine und etwas empfindliche Muskeln, die man
als tonisch bezeichnet, das heißt, sie sind die meiste Zeit des Tages permanent angespannt. Es handelt sich
um die Haltungsmuskeln.";"free"
41;"Kruzhantelfrontdrücken";"";"Diese schwere Übung für den vorderen Bereich des Deltamuskels kann auch im Stehen ausgeführt werden. ln diesem
Fall jedoch kann sie den Rücken eher gefährden.
Zwar wird diese Übung häufig empfohlen, um Schwierigkeiten mit den Bändern und den kleinen Muskeln, die das Schultergelenk
umgeben, beim klassischen Hanteldrücken (oder der Variante hinter dem Nacken) vorzubeugen, doch soll
an dieser Stelle daran erinnert werden, dass der vordere Teil der Schulter beim Krafttraining im Vergleich zum hinteren
Teil in der Regel übertrainiert ist, Dies sollte im Hinblick auf das Muskelgleichgewicht und die ästhetische Ausgewogenheit
des Körpers bedacht werden. Wenn die Ellbogen ganz nach vorne zeigen, kommt es zu einer stärkeren
Beteiligung des Brustmuskels (insbesondere auf den ersten Zentimetern der Aufwärtsbewegung), als wenn sie seitlich
oder diagonal ausgerichtet sind,";"";"";"Auf einer leicht schräg gestellten Bank sitzend, halten Sie die Kurzhanteln
im neutralen Griff vor dem Kopf. Die Daumen zeigen zum Kopf. Sie stoßen
die Hanteln nach oben, ohne die Ausrichtung der Ellbogen zu ändern (sie
zeigen immer nach vorne). Die Kurzhanteln werden bis auf die Höhe des
Schlüsselbeins abgesenkt und beinahe bis zur völligen Streckung nach oben
gestemmt, Während der Abwärtsbewegung Luft holen, nach dem Anheben
die Luft ausstoßen.";"zu starkes Beugen des Lendenbereichs und zu starke Beteiligung
des Trizeps.";"Die drei wichtigsten Anteile des Deltamuskels sind:
Vorderer Teil/Schlüsselbeinteil,
Mittlerer Teil/Schulterhöhenteil/lateraler bzw. seitlicher Teil,
Hinterer Teil/Grätenteil.";"free"
42;"Seitenheben mit Kurzhanteln";"";"Eine gute Übung für den gesamten Deltamuskel, besonders für den seitlichen Bereich, so dass sie dazu beiträgt, an
den Schultern ein paar Millimeter an Breite hinzuzugewinnen. Wenn die Arme etwas über die Horlzontale gehoben
werden jedoch nie mit schweren Gewichten , beansprucht die Übung den Trapezmuskel und angrenzende lVuskeln
(der Deltamuskelspreizt den Arm nur bis etwa 90o vom Körper ab). Um einen SaIzzu Ende zu bringen oder
mit mehr Gewicht zu arbeiten, können die Hände aus einer Position vor dem Körper heraus bewegt werden. Durch
die Ausführung im Sitzen werden Schwungbewegungen der Berne und des Oberkörpers vermieden. Der Bizeps (insbesondere
sein langer Kopf) leistet bei dieser Übung eine wichtige Hilfe; auf ihn entfallen biszu20-25 % der Gesamtbelastung,
was bei der Planung des Trainings zu berücksichtigen ist. Die im Folgenden beschriebenen
Armdrehungen (4,2 und 4.3) stellen keine Steigerung der Grundübung dar.";"";"";"Sie stehen mit leicht gebeugten und gegrätschten Beinen, der Blick ist nach
vorne gerichtet, Die Kurzhanteln werden mit halb gebeugten Ellbogen in
neutraler Haltung an den Seiten des Körpers gehalten, Die Arme werden
in einer abspreizenden Bewegung nach oben gehoben, bis sie ein Kreuz
darstellen, und die Ellbogen werden bis auf die Höhe der Hände und der
Schulter gehoben, ln der obersten Position zeigen die Handflächen in Richtung
Boden. Kontrolliert absenken. Während des ersten Drittels der Aufwärtsbewegung
einatmen (bzw. bei schweren Sätzen sogar vor der
Aufwärtsbewegung) und während der Abwärtsbewegung ausatmen,";"Schaukeln mit dem Körper, Supination des Unterarms beiderAufwärtsbewegung,
Heben der Hände, jedoch nicht der Ellbogen oder umgekehrt, Pronation
des Unterarms am Ende der Bewegung, Ausführen einer zu kurzen oder zu
langen Bewegungsstrecke mit zu hoher Last, Fallenlassen des Gewichts aus der oberen
Position, zu starke Beugung der Ellbogen (viel Gewicht) oder völlige Streckung
derselben, zu schnelle Ausführung, asymmetrisches Anheben usw.";"Das ,,Seitheben"" ist vermutlich die Übung, bei deren Ausführung die meisten Fehler begangen werden. Der häufigste Fehler besteht
in der Beugung der Ellbogen und in der stärkeren Bewegung der Arme nach vorne, um so mehr Gewicht zu bewältigen (der Ansatzpunkt
der Last wird verringert und der Brustmuskel und weitere Muskeln werden zu Hilfe genommen). Darin zeigt sich große
Unkenntnis, denn es handelt sich gerade nicht um eine ,,schwere Übung"".";"free"
